index,Az Co 3db BW,El Co 3db BW,Squint,X Pol at sector,Front to Back Ratio,1st USL,USL in Range
2496.00,205.82,15.51,-42.9,17.81,0.99,14.91,13.16
2500.00,150.06,15.64,93.86,19.76,1.15,14.89,12.77
2525.00,151.61,16.12,92.88,19.95,1.32,27.49,13.66
2550.00,222.94,18.06,-33.96,23.16,1.27,23.23,15.19
2575.00,105.38,18.04,41.0,22.14,1.26,21.57,14.43
2600.00,169.17,18.14,77.97,21.76,1.39,15.21,13.78
2625.00,251.84,17.32,-19.39,20.5,0.8,11.24,11.24
2650.00,254.0,17.78,-18.95,22.15,0.9,10.98,10.98
2675.00,170.06,17.22,69.92,17.16,0.43,11.46,11.46
2690.00,130.68,16.12,-81.41,18.89,0.19,12.38,12.38
Average,181.16,17.0,17.9,20.33,0.97,16.34,12.9
Max,254.0,18.14,93.86,23.16,1.39,27.49,15.19
Min,105.38,15.51,-81.41,17.16,0.19,10.98,10.98
